source_name,file_name,status,size_kb,path,notes,url
Bank of England MLAR long-run summary tables,boe_mlar_longrun_summary.xlsx,downloaded,286.27,C:\Users\swapn\OneDrive\Desktop\UK_Mortgae_Risk_Research\data_raw\official_sources\boe_mlar_longrun_summary.xlsx,Core quarterly mortgage lending and arrears series; includes 2025 Q4 in the long-run summary file.,https://www.bankofengland.co.uk/-/media/boe/files/statistics/mortgage-lenders-and-administrators/mlar-longrun-summary.xlsx
UK Finance Mortgage Arrears & Possessions Update Q4 2025,ukfinance_mortgage_arrears_possessions_q4_2025.pdf,failed: 403 Client Error: Forbidden for url: https://www.ukfinance.org.uk/system/files/2026-02/UKF%20Mortgage%20Arrears%20%26%20Possessions%20Update%2012%20February%202026.pdf,,C:\Users\swapn\OneDrive\Desktop\UK_Mortgae_Risk_Research\data_raw\official_sources\ukfinance_mortgage_arrears_possessions_q4_2025.pdf,Industry arrears bands and possessions update for Q4 2025.,https://www.ukfinance.org.uk/system/files/2026-02/UKF%20Mortgage%20Arrears%20%26%20Possessions%20Update%2012%20February%202026.pdf
FCA Mortgage Product Sales Data quarterly file,fca_psd_mortgages_quarterly_2024.xlsx,downloaded,537.81,C:\Users\swapn\OneDrive\Desktop\UK_Mortgae_Risk_Research\data_raw\official_sources\fca_psd_mortgages_quarterly_2024.xlsx,"Mortgage and remortgage product sales data by borrower, region, LTV and more.",https://www.fca.org.uk/publication/data/product-sales-data-mortgages-quarterly-2024.xlsx
ONS UK House Price Index monthly price statistics,ons_uk_hpi_monthly_price_statistics_25mar2026.xlsx,downloaded,177.07,C:\Users\swapn\OneDrive\Desktop\UK_Mortgae_Risk_Research\data_raw\official_sources\ons_uk_hpi_monthly_price_statistics_25mar2026.xlsx,Latest ONS UK HPI monthly statistics file from the 25 March 2026 edition.,https://www.ons.gov.uk/file?uri=%2Feconomy%2Finflationandpriceindices%2Fdatasets%2Fukhousepriceindexmonthlypricestatistics%2F25march2026%2Fukhousepriceindexmonthlypricestatistics.xlsx
