"actual","forecast","lower_80","upper_80","lower_95","upper_95"
1475,1374.75144424256,795.984365925047,1953.51852256008,489.603581731269,2259.89930675386
1488,1232.98936615959,388.883824327309,2077.09490799186,-57.9586577998552,2523.93739011903
1425,1420.84357285596,355.440739871233,2486.2464058407,-208.549451832548,3050.23659754448
1459,1315.49943298543,48.6028436685667,2582.39602230229,-622.051699529857,3253.05056550071
2098,1459.8505382102,-45.6628179760496,2965.36389439646,-842.633447375771,3762.33452379618
1983,1343.76755614019,-387.492247431152,3075.02735971152,-1303.96582744766,3991.50093972803
2073,1540.39527610332,-408.905589218476,3489.69614142511,-1440.80313508969,4521.59368729632
2055,1458.86240442191,-703.836616610498,3621.56142545433,-1848.70032234379,4766.42513118762
