sheet_name,row_number,series_label,period,value,variable
Summary 1,16,Gross advances £ millions,2025-Q4,79388.852,gross_advances_gbp_m
Summary 1,17,Net advances £ millions,2007-Q1,33434.097,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2007-Q2,37319.103,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2007-Q3,39641.002,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2007-Q4,29671.474,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2008-Q1,24073.429,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2008-Q2,21746.638,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2008-Q3,13813.992,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2008-Q4,8624.704,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2009-Q1,1878.281,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2009-Q2,5545.526,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2009-Q3,6492.112,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2009-Q4,7924.587,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2010-Q1,3728.677,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2010-Q2,5894.128,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2010-Q3,8308.94,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2010-Q4,1216.601,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2011-Q1,1694.603,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2011-Q2,7888.658,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2011-Q3,6949.765,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2011-Q4,4103.868,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2012-Q1,2661.999,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2012-Q2,4662.963,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2012-Q3,5602.102,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2012-Q4,4207.831,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2013-Q1,1314.83,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2013-Q2,5117.333,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2013-Q3,7205.85,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2013-Q4,8974.651,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2014-Q1,7035.237,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2014-Q2,8932.818,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2014-Q3,11050.652,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2014-Q4,8095.694,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2015-Q1,6288.02,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2015-Q2,9957.367,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2015-Q3,13676.381,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2015-Q4,14213.717,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2016-Q1,13626.793,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2016-Q2,11871.917,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2016-Q3,13346.012,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2016-Q4,11527.921,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2017-Q1,9953.126,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2017-Q2,11870.502,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2017-Q3,16228.277,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2017-Q4,11906.853,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2018-Q1,8929.829,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2018-Q2,13388.532,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2018-Q3,13228.537,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2018-Q4,13639.291,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2019-Q1,9961.908,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2019-Q2,13754.918,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2019-Q3,16506.387,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2019-Q4,14903.471,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2020-Q1,10729.596,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2020-Q2,2757.373,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2020-Q3,13016.201,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2020-Q4,20018.773,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2021-Q1,21586.045,net_advances_gbp_m
