sheet_name,row_number,series_label,period,value
Summary 2,18,< = 75% Per cent,2007-Q1,48.622
Summary 2,18,< = 75% Per cent,2007-Q2,47.587
Summary 2,18,< = 75% Per cent,2007-Q3,48.622
Summary 2,18,< = 75% Per cent,2007-Q4,49.537
Summary 2,18,< = 75% Per cent,2008-Q1,54.656
Summary 2,18,< = 75% Per cent,2008-Q2,55.668
Summary 2,18,< = 75% Per cent,2008-Q3,64.261
Summary 2,18,< = 75% Per cent,2008-Q4,65.197
Summary 2,18,< = 75% Per cent,2009-Q1,73.6
Summary 2,18,< = 75% Per cent,2009-Q2,74.054
Summary 2,18,< = 75% Per cent,2009-Q3,73.772
Summary 2,18,< = 75% Per cent,2009-Q4,72.006
Summary 2,18,< = 75% Per cent,2010-Q1,73.046
Summary 2,18,< = 75% Per cent,2010-Q2,70.81
Summary 2,18,< = 75% Per cent,2010-Q3,69.874
Summary 2,18,< = 75% Per cent,2010-Q4,70.435
Summary 2,18,< = 75% Per cent,2011-Q1,74.108
Summary 2,18,< = 75% Per cent,2011-Q2,69.598
Summary 2,18,< = 75% Per cent,2011-Q3,69.563
Summary 2,18,< = 75% Per cent,2011-Q4,67.623
Summary 2,18,< = 75% Per cent,2012-Q1,68.255
Summary 2,18,< = 75% Per cent,2012-Q2,67.279
Summary 2,18,< = 75% Per cent,2012-Q3,68.104
Summary 2,18,< = 75% Per cent,2012-Q4,66.264
Summary 2,18,< = 75% Per cent,2013-Q1,67.018
Summary 2,18,< = 75% Per cent,2013-Q2,65.215
Summary 2,18,< = 75% Per cent,2013-Q3,65.14
Summary 2,18,< = 75% Per cent,2013-Q4,64.628
Summary 2,18,< = 75% Per cent,2014-Q1,64.827
Summary 2,18,< = 75% Per cent,2014-Q2,64.551
Summary 2,18,< = 75% Per cent,2014-Q3,64.161
Summary 2,18,< = 75% Per cent,2014-Q4,64.637
Summary 2,18,< = 75% Per cent,2015-Q1,67.487
Summary 2,18,< = 75% Per cent,2015-Q2,65.783
Summary 2,18,< = 75% Per cent,2015-Q3,65.292
Summary 2,18,< = 75% Per cent,2015-Q4,66.066
Summary 2,18,< = 75% Per cent,2016-Q1,68.008
Summary 2,18,< = 75% Per cent,2016-Q2,64.928
Summary 2,18,< = 75% Per cent,2016-Q3,64.092
Summary 2,18,< = 75% Per cent,2016-Q4,65.02
Summary 2,18,< = 75% Per cent,2017-Q1,67.063
Summary 2,18,< = 75% Per cent,2017-Q2,64.214
Summary 2,18,< = 75% Per cent,2017-Q3,64.286
Summary 2,18,< = 75% Per cent,2017-Q4,64.742
Summary 2,18,< = 75% Per cent,2018-Q1,66.122
Summary 2,18,< = 75% Per cent,2018-Q2,63.914
Summary 2,18,< = 75% Per cent,2018-Q3,61.922
Summary 2,18,< = 75% Per cent,2018-Q4,62.295
Summary 2,18,< = 75% Per cent,2019-Q1,62.963
Summary 2,18,< = 75% Per cent,2019-Q2,60.341
Summary 2,18,< = 75% Per cent,2019-Q3,58.855
