sheet_name,row_number,series_label,period,value
Summary 1,16,Gross advances £ millions,2007-Q1,86432.163
Summary 1,16,Gross advances £ millions,2007-Q2,96694.881
Summary 1,16,Gross advances £ millions,2007-Q3,101979.98
Summary 1,16,Gross advances £ millions,2007-Q4,86608.823
Summary 1,16,Gross advances £ millions,2008-Q1,73365.331
Summary 1,16,Gross advances £ millions,2008-Q2,71629.616
Summary 1,16,Gross advances £ millions,2008-Q3,60583.695
Summary 1,16,Gross advances £ millions,2008-Q4,44823.241
Summary 1,16,Gross advances £ millions,2009-Q1,32588.306
Summary 1,16,Gross advances £ millions,2009-Q2,33799.533
Summary 1,16,Gross advances £ millions,2009-Q3,40330.642
Summary 1,16,Gross advances £ millions,2009-Q4,41246.305
Summary 1,16,Gross advances £ millions,2010-Q1,32050.568
Summary 1,16,Gross advances £ millions,2010-Q2,36472.24
Summary 1,16,Gross advances £ millions,2010-Q3,40827.545
Summary 1,16,Gross advances £ millions,2010-Q4,36814.947
Summary 1,16,Gross advances £ millions,2011-Q1,32984.725
Summary 1,16,Gross advances £ millions,2011-Q2,36554.241
Summary 1,16,Gross advances £ millions,2011-Q3,43568.227
Summary 1,16,Gross advances £ millions,2011-Q4,40107.073
Summary 1,16,Gross advances £ millions,2012-Q1,36442.684
Summary 1,16,Gross advances £ millions,2012-Q2,36926.808
Summary 1,16,Gross advances £ millions,2012-Q3,39595.182
Summary 1,16,Gross advances £ millions,2012-Q4,39397.195
Summary 1,16,Gross advances £ millions,2013-Q1,34044.484
Summary 1,16,Gross advances £ millions,2013-Q2,41673.78
Summary 1,16,Gross advances £ millions,2013-Q3,49570.122
Summary 1,16,Gross advances £ millions,2013-Q4,51491.136
Summary 1,16,Gross advances £ millions,2014-Q1,47097.301
Summary 1,16,Gross advances £ millions,2014-Q2,51518.104
Summary 1,16,Gross advances £ millions,2014-Q3,55910.718
Summary 1,16,Gross advances £ millions,2014-Q4,51371.767
Summary 1,16,Gross advances £ millions,2015-Q1,45593.342
Summary 1,16,Gross advances £ millions,2015-Q2,52564.001
Summary 1,16,Gross advances £ millions,2015-Q3,62095.996
Summary 1,16,Gross advances £ millions,2015-Q4,63090.045
Summary 1,16,Gross advances £ millions,2016-Q1,64015.298
Summary 1,16,Gross advances £ millions,2016-Q2,58037.382
Summary 1,16,Gross advances £ millions,2016-Q3,64447.772
Summary 1,16,Gross advances £ millions,2016-Q4,62772.619
Summary 1,16,Gross advances £ millions,2017-Q1,60435.915
Summary 1,16,Gross advances £ millions,2017-Q2,62586.376
Summary 1,16,Gross advances £ millions,2017-Q3,70719.892
Summary 1,16,Gross advances £ millions,2017-Q4,68963.54
Summary 1,16,Gross advances £ millions,2018-Q1,62436.475
Summary 1,16,Gross advances £ millions,2018-Q2,66729.277
Summary 1,16,Gross advances £ millions,2018-Q3,73454.664
Summary 1,16,Gross advances £ millions,2018-Q4,72875.539
Summary 1,16,Gross advances £ millions,2019-Q1,63368.348
Summary 1,16,Gross advances £ millions,2019-Q2,66088.26
Summary 1,16,Gross advances £ millions,2019-Q3,73303.859
Summary 1,16,Gross advances £ millions,2019-Q4,73466.502
Summary 1,16,Gross advances £ millions,2020-Q1,65818.022
Summary 1,16,Gross advances £ millions,2020-Q2,44159.88
Summary 1,16,Gross advances £ millions,2020-Q3,62527.45
Summary 1,16,Gross advances £ millions,2020-Q4,76601.634
Summary 1,16,Gross advances £ millions,2021-Q1,83175.142
Summary 1,16,Gross advances £ millions,2021-Q2,89117.086
Summary 1,16,Gross advances £ millions,2021-Q3,73437.692
Summary 1,16,Gross advances £ millions,2021-Q4,70200.639
Summary 1,16,Gross advances £ millions,2022-Q1,76942.33
