sheet_name,row_number,series_label,period,value,variable
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2007-Q2,1.318,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2007-Q3,1.367,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2007-Q4,1.451,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2008-Q1,1.578,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2008-Q2,1.686,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2008-Q3,1.963,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2008-Q4,2.271,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2009-Q1,2.506,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2009-Q2,2.475,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2009-Q3,2.459,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2009-Q4,2.366,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2010-Q1,2.315,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2010-Q2,2.239,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2010-Q3,2.142,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2010-Q4,2.103,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2011-Q1,2.062,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2011-Q2,2.003,serious_arrears_rate_pct
