variable,coefficient,std_error_hac,t_value,p_value
const,2.7796003133230704,0.19956613656885394,13.928216285151453,4.268837738191388e-44
avg_interest_rate_all_loans_pct_l1,0.07714127224658412,0.031161909028088068,2.475498923286508,0.013305016290837121
uk_hpi_annual_change_pct_l1,0.002861011405309158,0.005367562304142947,0.5330187603227053,0.5940205938987229
fixed_rate_share_pct_l1,-0.018547864854165156,0.0040537197074632285,-4.57551735015547,4.750445930293899e-06
ltv_gt_90_pct_l1,-0.06397512504688492,0.023332205604133648,-2.7419235940365096,0.006108054779173017
impaired_credit_history_pct_l1,0.11448354722031606,0.1767848668050484,0.647586805869329,0.5172522332823584
gross_advances_gbp_m_l1,-5.806163683519597e-06,2.598926896892008e-06,-2.2340619470532412,0.025478997365114636
