series_label
1.5 < 2.5% in arrears Per cent
10 % or more in arrears Per cent
2.5 < 5% in arrears Per cent
5 < 7.5% in arrears Per cent
7.5 < 10% in arrears Per cent
Balances as per cent total loan balances Per cent
Balances outstanding £ millions
In possession Per cent
Loan book:  balances outstanding £ millions
Loan book:  number of loan accounts Units
New possessions in quarter Units
Number of loan accounts Units
Possession sales in quarter Units
Stock of possessions at end of quarter Units
TOTAL Per cent
Total (exc 1.5 < 2.5% band) Per cent
