variable,coefficient,std_error_hac,t_value,p_value
const,5.015795525970784,1.650643920219496,3.038690213273741,0.0023760905088475396
serious_arrears_rate_pct_l1,2.2724348056847417,0.5090686392385553,4.463906496152974,8.047869593852604e-06
avg_interest_rate_all_loans_pct_l1,0.024801874174414817,0.11841798340052724,0.20944347692974133,0.8341020556110086
uk_hpi_annual_change_pct_l1,0.03730943445709212,0.02812313652471972,1.3266455690067789,0.18462595430713935
fixed_rate_share_pct_l1,-0.010405049124937768,0.013904478712861814,-0.7483235682408553,0.4542650119995024
ltv_gt_90_pct_l1,0.25042841509043856,0.11976552949396106,2.090989086330269,0.036529042313938186
gross_advances_gbp_m_l1,6.193835568722814e-06,1.3226239205523716e-05,0.4682990737182542,0.6395707307446861
